State,City,Pincode
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,744302
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,744202
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,744107
ANDHRA PRADESH,ANANTAPUR,515445
ANDHRA PRADESH,Alluri Sitharama Raju,531024
ANDHRA PRADESH,Anakapalli,531027
ANDHRA PRADESH,Annamayya,517305
ANDHRA PRADESH,Bapatla,523171
ANDHRA PRADESH,CHITTOOR,517213
ANDHRA PRADESH,EAST GODAVARI,533437
ANDHRA PRADESH,Eluru,534455
ANDHRA PRADESH,GUNTUR,522529
ANDHRA PRADESH,KRISHNA,521122
ANDHRA PRADESH,KURNOOL,518002
ANDHRA PRADESH,Kakinada,533005
ANDHRA PRADESH,Konaseema,533126
ANDHRA PRADESH,NTR,521226
ANDHRA PRADESH,Nandyal,518405
ANDHRA PRADESH,PRAKASAM,523113
ANDHRA PRADESH,Palnadu,522612
ANDHRA PRADESH,Parvathipuram Manyam,535557
ANDHRA PRADESH,SPSR NELLORE,524203
ANDHRA PRADESH,SRIKAKULAM,532148
ANDHRA PRADESH,Sri Sathya Sai,515144
ANDHRA PRADESH,Tirupati,517194
ANDHRA PRADESH,VISAKHAPATANAM,531115
ANDHRA PRADESH,VIZIANAGARAM,535128
ANDHRA PRADESH,WEST GODAVARI,534313
ANDHRA PRADESH,Y.S.R.,516356
ARUNACHAL PRADESH,ANJAW,792104
ARUNACHAL PRADESH,CHANGLANG,792056
ARUNACHAL PRADESH,DIBANG VALLEY,792110
ARUNACHAL PRADESH,EAST KAMENG,790102
ARUNACHAL PRADESH,EAST SIANG,791103
ARUNACHAL PRADESH,KAMLE,791120
ARUNACHAL PRADESH,KRA DAADI,791118
ARUNACHAL PRADESH,KURUNG KUMEY,791118
ARUNACHAL PRADESH,LEPARADA,791101
ARUNACHAL PRADESH,LOHIT,792001
ARUNACHAL PRADESH,LONGDING,792131
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,792110
ARUNACHAL PRADESH,LOWER SIANG,791125
ARUNACHAL PRADESH,LOWER SUBANSIRI,791119
ARUNACHAL PRADESH,NAMSAI,792103
ARUNACHAL PRADESH,PAKKE KESSANG,790103
ARUNACHAL PRADESH,PAPUM PARE,791123
ARUNACHAL PRADESH,SHI YOMI,791003
ARUNACHAL PRADESH,SIANG,791001
ARUNACHAL PRADESH,TAWANG,790105
ARUNACHAL PRADESH,TIRAP,792129
ARUNACHAL PRADESH,UPPER SIANG,791105
ARUNACHAL PRADESH,UPPER SUBANSIRI,791122
ARUNACHAL PRADESH,WEST KAMENG,790114
ARUNACHAL PRADESH,WEST SIANG,791001
ASSAM,BAKSA,781366
ASSAM,BARPETA,781315
ASSAM,BONGAIGAON,783384
ASSAM,Bajali,781328
ASSAM,Biswanath,784169
ASSAM,CACHAR,788117
ASSAM,CHARAIDEO,785691
ASSAM,CHIRANG,783394
ASSAM,DARRANG,784145
ASSAM,DHEMAJI,787026
ASSAM,DHUBRI,783335
ASSAM,DIBRUGARH,786613
